SCHOOL_YEAR,DISTRICT_NUMBER,FSA_SKILL_CODE,GRADE,PERCENT_UNKNOWN,PERCENT_BELOW,PERCENT_MEETING,PERCENT_EXCEEDING,PERCENT_MEET_OR_EXCEED,SCORE_TYPE,SCORE,PARTICIPATION_RATE
2007/2008,Prov,N,4,10,22,59,9,68,IRT,480.2801,90
2008/2009,Prov,N,4,17,19,56,8,64,IRT,482.6256,83
2009/2010,Prov,N,4,17,21,54,7,61,IRT,478.2086,83
2010/2011,Prov,N,4,16,20,56,9,65,IRT,484.83,84
2011/2012,Prov,N,4,16,18,58,8,66,IRT,486.1307,84
2012/2013,Prov,N,4,15,20,57,8,65,IRT,483.7993,85
2013/2014,Prov,N,4,16,19,57,8,65,IRT,484.0083,84
2014/2015,Prov,N,4,20,19,54,6,60,IRT,478.3821,80
2007/2008,005,N,4,14,27,56,3,59,IRT,457.5983,86
2008/2009,005,N,4,13,18,63,5,69,IRT,478.4783,87
2009/2010,005,N,4,17,20,56,7,63,IRT,475.2613,83
2010/2011,005,N,4,19,15,60,7,66,IRT,492.0689,81
2011/2012,005,N,4,3,15,67,14,81,IRT,507.1746,97
2012/2013,005,N,4,12,22,60,5,65,IRT,464.8612,88
2013/2014,005,N,4,9,24,61,7,67,IRT,475.6171,91
2014/2015,005,N,4,21,19,57,3,60,IRT,465.5686,79
2007/2008,006,N,4,6,30,60,4,64,IRT,451.8889,94
2008/2009,006,N,4,10,24,58,8,66,IRT,471.7837,90
2009/2010,006,N,4,8,21,66,5,71,IRT,477.6714,92
2010/2011,006,N,4,6,22,64,8,72,IRT,474.4848,94
2011/2012,006,N,4,11,21,61,7,68,IRT,477.29,89
2012/2013,006,N,4,4,21,65,9,74,IRT,492.3959,96
2013/2014,006,N,4,4,22,69,5,74,IRT,473.9295,96
2014/2015,006,N,4,2,24,70,3,73,IRT,466.3556,98
2007/2008,008,N,4,16,19,56,9,65,IRT,485.0646,84
2008/2009,008,N,4,28,16,47,9,56,IRT,482.8571,72
2009/2010,008,N,4,21,18,51,10,62,IRT,492.4929,79
2010/2011,008,N,4,24,16,50,11,60,IRT,492.0574,76
2011/2012,008,N,4,35,15,45,5,50,IRT,477.0283,65
2012/2013,008,N,4,20,22,49,10,59,IRT,475.1679,80
2013/2014,008,N,4,22,17,53,9,61,IRT,488.4014,78
2014/2015,008,N,4,24,23,48,6,53,IRT,466.7112,76
2007/2008,010,N,4,11,19,66,4,70,IRT,453.9524,89
2008/2009,010,N,4,6,14,69,10,80,IRT,495.0217,94
2009/2010,010,N,4,5,24,70,0,70,IRT,463.9429,95
2010/2011,010,N,4,8,24,59,8,68,IRT,485.7059,92
2011/2012,010,N,4,40,26,31,3,34,IRT,457.7619,60
2012/2013,010,N,4,8,14,69,8,78,IRT,504.6061,92
2013/2014,010,N,4,23,23,49,5,54,IRT,460.0667,77
2014/2015,010,N,4,17,10,48,24,72,IRT,555.125,83
