Cat,Number,Year,,
A,85,2011/12,,
A,98,2012/13,,
A,86,2013/14,,
A,90,2014/15,,
A,78,2015/16,,
B,6,2011/12,,
B,5,2012/13,,
B,5,2013/14,,
B,5,2014/15,,
B,4,2015/16,,
C,141,2011/12,,
C,132,2012/13,,
C,116,2013/14,,
C,113,2014/15,,
C,102,2015/16,,
D,827,2011/12,,
D,804,2012/13,,
D,804,2013/14,,
D,798,2014/15,,
D,798,2015/16,,
G,628,2011/12,,
G,638,2012/13,,
G,677,2013/14,,
G,713,2014/15,,
G,737,2015/16,,
K,100,2011/12,,
K,102,2012/13,,
K,94,2013/14,,
K,107,2014/15,,
K,112,2015/16,,
P,595,2011/12,,
P,462,2012/13,,
P,394,2013/14,,
P,359,2014/15,,
P,318,2015/16,,
H,635,2011/12,,
H,618,2012/13,,
H,554,2013/14,,
H,532,2014/15,,
H,545,2015/16,,
R,395,2011/12,,
R,420,2012/13,,
R,437,2013/14,,
R,437,2014/15,,
R,469,2015/16,,
Q,2081,2011/12,,
Q,2081,2012/13,,
Q,2009,2013/14,,
Q,1959,2014/15,,
Q,1924,2015/16,,
E,24,2011/12,,
E,19,2012/13,,
E,16,2013/14,,
E,19,2014/15,,
E,18,2015/16,,
F,117,2011/12,,
F,117,2012/13,,
F,103,2013/14,,
F,103,2014/15,,
F,94,2015/16,,
