"CAT","Year","Number"
"B","2004/2005",54
"E","2005/2006",391
"K","2006/2007",2589
"G","2006/2007",3715
"R","2007/2008",7132
"H","2007/2008",7087
"H","2008/2009",7318
"P","2008/2009",8389
"P","2009/2010",7994
"R","2010/2011",6270
"D","2011/2012",7035
"R","2011/2012",6076
"A","2011/2012",567
"K","2011/2012",2217
"G","2012/2013",6301
"G","2013/2014",6750
"P","2014/2015",5567
"K","2015/2016",2088
"G","2016/2017",8459
"Q","2016/2017",17908
"H","1996/1997",5704
"J","1999/2000",15075
"H","2000/2001",6541
"F","2001/2002",1530
"A","2002/2003",773
"B","2015/2016",69
"B","2013/2014",72
"Q","2004/2005",16168
"R","2004/2005",9561
"E","2004/2005",399
"P","2004/2005",13141
"H","2005/2006",7477
"A","2005/2006",686
"G","2007/2008",4177
"F","2006/2007",1328
"K","2007/2008",2497
"C","2008/2009",2278
"K","2008/2009",2396
"D","2008/2009",6131
"B","2008/2009",65
"Q","2012/2013",18392
"H","2012/2013",6970
"P","2012/2013",6550
"A","2010/2011",610
"F","2011/2012",1148
"D","2015/2016",8039
"K","2012/2013",2138
"P","2016/2017",5192
"R","2016/2017",5851
"G","2003/2004",2008
"K","2003/2004",3276
"F","2014/2015",1080
"C","1997/1998",2257
"C","1998/1999",2322
"G","1999/2000",1090
"D","1999/2000",3283
"C","1999/2000",2359
"C","2000/2001",2432
"E","2016/2017",290
"C","2001/2002",2455
"C","2002/2003",2477
"D","1997/1998",2587
"E","1998/1999",435
"A","1996/1997",720
"A","2001/2002",773
"B","2006/2007",50
"B","2010/2011",59
"H","2004/2005",7254
"K","2004/2005",2971
"R","2005/2006",9355
"Q","2007/2008",17129
"R","2008/2009",6868
"A","2007/2008",658
"F","2008/2009",1238
"E","2008/2009",350
"P","2010/2011",7331
"H","2011/2012",6988
"C","2012/2013",1886
"D","2013/2014",7434
"K","2013/2014",2115
"F","2010/2011",1195
"H","2014/2015",7136
"R","2014/2015",5580
"H","2015/2016",7370
"F","2015/2016",1047
"C","2003/2004",2520
"A","2003/2004",760
"M","2000/2001",7444
"A","2000/2001",777
"P","2000/2001",17858
"F","2000/2001",1619
"D","2001/2002",4517
"P","2001/2002",16989
"M","2001/2002",7542
"R","2002/2003",9575
"F","2002/2003",1551
"B","2007/2008",54
"B","2014/2015",69
