SCHOOL_YEAR,DISTRICT_NUMBER,FSA_SKILL_CODE,GRADE,PER_UN,PER_BELOW,PER_MT,PER_EXC,SCORE_TYPE,SCORE,PART_RATE
2007/2008,Prov,N,4,10,22,59,9,IRT,480.28,90
2008/2009,Prov,N,4,17,19,56,8,IRT,482.63,83
2009/2010,Prov,N,4,17,21,54,7,IRT,478.21,83
2010/2011,Prov,N,4,16,20,56,9,IRT,484.83,84
2011/2012,Prov,N,4,16,18,58,8,IRT,486.13,84
2012/2013,Prov,N,4,15,20,57,8,IRT,483.8,85
2013/2014,Prov,N,4,16,19,57,8,IRT,484.01,84
2014/2015,Prov,N,4,20,19,54,6,IRT,478.38,80
2007/2008,39,N,4,20,19,51,10,IRT,486.5,80
2008/2009,39,N,4,31,13,47,9,IRT,497.46,69
2009/2010,39,N,4,37,14,43,6,IRT,484.18,63
2010/2011,39,N,4,33,13,46,8,IRT,493.96,67
2011/2012,39,N,4,35,11,45,9,IRT,505.57,65
2012/2013,39,N,4,31,12,48,8,IRT,498.7,69
2013/2014,39,N,4,31,10,49,10,IRT,507.16,69
2014/2015,39,N,4,35,10,48,8,IRT,504.42,65
2007/2008,Prov,R,4,10,18,62,10,IRT,482.73,90
2008/2009,Prov,R,4,16,16,57,10,IRT,486.96,84
2009/2010,Prov,R,4,17,18,55,10,IRT,482.58,83
2010/2011,Prov,R,4,16,17,57,10,IRT,483.13,84
2011/2012,Prov,R,4,15,17,59,9,IRT,482.62,85
2012/2013,Prov,R,4,15,16,58,12,IRT,490.68,85
2013/2014,Prov,R,4,16,17,57,11,IRT,486.21,84
2014/2015,Prov,R,4,20,16,55,10,IRT,485.04,80
2007/2008,39,R,4,21,15,55,9,IRT,483.28,79
2008/2009,39,R,4,32,11,46,11,IRT,501.67,68
2009/2010,39,R,4,37,14,41,8,IRT,477.9,63
2010/2011,39,R,4,33,13,46,8,IRT,484.67,67
2011/2012,39,R,4,35,13,44,9,IRT,487.61,65
2012/2013,39,R,4,31,12,48,10,IRT,493.71,69
2013/2014,39,R,4,31,11,46,11,IRT,501.85,69
2014/2015,39,R,4,35,9,46,10,IRT,501.52,65
2007/2008,Prov,W,4,12,19,64,6,PRO,6.58,88
2008/2009,Prov,W,4,18,16,62,4,PRO,6.59,82
2009/2010,Prov,W,4,18,14,63,4,PRO,6.65,82
2010/2011,Prov,W,4,17,12,66,5,PRO,6.86,83
2011/2012,Prov,W,4,17,13,65,5,PRO,6.83,83
2012/2013,Prov,W,4,16,12,66,6,PRO,6.88,84
2013/2014,Prov,W,4,17,14,66,4,PRO,6.71,83
2014/2015,Prov,W,4,21,12,62,5,PRO,6.82,79
2007/2008,39,W,4,22,13,59,6,PRO,6.88,78
2008/2009,39,W,4,33,11,53,2,PRO,6.54,67
2009/2010,39,W,4,37,12,48,3,PRO,6.43,63
2010/2011,39,W,4,34,7,57,2,PRO,6.69,66
2011/2012,39,W,4,36,10,51,3,PRO,6.72,64
2012/2013,39,W,4,32,9,55,4,PRO,6.83,68
2013/2014,39,W,4,32,11,56,2,PRO,6.53,68
2014/2015,39,W,4,36,8,53,3,PRO,6.88,64
