SCHOOL_YEAR,DISTRICT_NUMBER,FSA_SKILL_CODE,GRADE,SCORE,PARTICIPATION,PERCENT_EXCEEDING,PERCENT_MEETING,PERCENT_BELOW,MASK
2007/2008,Prov,Numeracy,4,486.87686,91,12,65,23,0
2008/2009,Prov,Numeracy,4,491.13171,84,12,66,22,0
2009/2010,Prov,Numeracy,4,486.837,83,11,65,24,0
2010/2011,Prov,Numeracy,4,494.20394,85,13,66,21,0
2011/2012,Prov,Numeracy,4,496.38955,85,13,67,20,0
2012/2013,Prov,Numeracy,4,493.22169,86,13,66,21,0
2013/2014,Prov,Numeracy,4,493.878,85,12,67,21,0
2014/2015,Prov,Numeracy,4,491.49968,82,12,66,22,0
2015/2016,Prov,Numeracy,4,498.27546,80,14,67,20,0
2007/2008,5,Numeracy,4,457.59829,86,4,65,31,0
2008/2009,5,Numeracy,4,478.47826,87,6,73,21,0
2009/2010,5,Numeracy,4,475.26132,83,8,68,24,0
2010/2011,5,Numeracy,4,492.06885,81,8,73,18,0
2011/2012,5,Numeracy,4,507.17465,97,15,70,16,0
2012/2013,5,Numeracy,4,464.8612,88,6,69,26,0
2013/2014,5,Numeracy,4,475.61709,91,7,67,26,0
2014/2015,5,Numeracy,4,465.56863,79,3,72,25,0
2015/2016,5,Numeracy,4,481.55882,75,7,75,19,0
2007/2008,6,Numeracy,4,451.88889,94,4,64,32,0
2008/2009,6,Numeracy,4,471.78365,90,9,64,27,0
2009/2010,6,Numeracy,4,477.67143,92,5,72,23,0
2010/2011,6,Numeracy,4,474.48485,94,9,68,23,0
2011/2012,6,Numeracy,4,477.29,89,8,69,24,0
2012/2013,6,Numeracy,4,492.39594,96,10,68,22,0
2013/2014,6,Numeracy,4,473.92952,96,5,72,23,0
2014/2015,6,Numeracy,4,466.35556,98,4,72,25,0
2015/2016,6,Numeracy,4,487.6872,95,6,77,17,0
2007/2008,8,Numeracy,4,485.06463,84,11,66,23,0
2008/2009,8,Numeracy,4,482.85714,72,13,66,22,0
2009/2010,8,Numeracy,4,492.49291,79,13,65,22,0
2010/2011,8,Numeracy,4,492.05738,76,14,65,20,0
2011/2012,8,Numeracy,4,477.0283,65,8,69,23,0
2012/2013,8,Numeracy,4,475.16788,80,12,61,27,0
2013/2014,8,Numeracy,4,488.40141,78,11,67,22,0
2014/2015,8,Numeracy,4,466.71121,76,8,63,30,0
2015/2016,8,Numeracy,4,464.41923,77,7,61,32,0
2007/2008,10,Numeracy,4,453.95238,89,5,74,21,0
2008/2009,10,Numeracy,4,495.02174,94,11,74,15,0
2009/2010,10,Numeracy,4,463.94286,95,0,74,26,0
2010/2011,10,Numeracy,4,485.70588,92,9,65,26,0
2011/2012,10,Numeracy,4,457.7619,60,5,52,43,0
2012/2013,10,Numeracy,4,504.60606,92,9,76,15,0
2013/2014,10,Numeracy,4,460.06667,77,7,63,30,0
2014/2015,10,Numeracy,4,555.125,83,29,58,13,0
2015/2016,10,Numeracy,4,598.26923,81,46,46,8,0
2007/2008,19,Numeracy,4,514.69231,95,15,76,9,0
2008/2009,19,Numeracy,4,513.23077,90,15,74,11,0
2009/2010,19,Numeracy,4,531.61905,86,19,75,6,0
2010/2011,19,Numeracy,4,510.16,93,13,69,17,0
